basis_form,k_base,mse_male_validation,mse_female_validation,mse_male_test,mse_female_test,Country
tp,6,0.210942141936862,0.257766111800283,0.30237384629275,0.918548285783442,ISL
tp,7,0.220172964648,0.239535929870349,0.467009726698154,0.890181932567702,ISL
ts,2,0.210889508105547,0.261960467460764,0.318584163303883,0.605998280820019,ISL
ts,3,0.268798105791431,0.280620708021882,0.80972464861403,1.27961737682705,ISL
ts,4,0.224226462442019,0.285366465866094,0.443735048446914,1.3032649163274,ISL
ts,5,2.62783339564956,4.64035561906848,27.7442550060042,48.019180679614,ISL
ts,6,2.62783339564956,4.64035561906848,27.7442550060042,48.019180679614,ISL
ts,7,0.214592000147819,0.232800984852777,0.430161843619344,0.832736830406493,ISL
cs,2,0.0831884769513888,0.0938831186997747,0.163204213762505,0.176484045610657,IRL
cs,3,0.0520364768399061,0.0993885032375288,0.147958308818912,0.278420703250127,IRL
cs,4,0.0527645128512214,0.111439804856054,0.156705572367251,0.405926064722042,IRL
cs,5,0.0537751103871879,0.110101515276447,0.164329887988821,0.390356183705205,IRL
cs,6,0.0544090277343311,0.110722127674354,0.169317825271625,0.395566492467342,IRL
cs,7,0.0545111709794722,0.110812033278274,0.170816521234184,0.396933010833849,IRL
tp,2,0.0842666143818511,0.0952992024497898,0.168243335867084,0.183194704686656,IRL
tp,3,0.0510193635763953,0.108956804094362,0.148666635649772,0.371789296530495,IRL
tp,4,0.0566279320608344,0.0945253288962214,0.140250532700194,0.219902494660392,IRL
tp,5,0.054264384081412,0.111259798816593,0.169401522505022,0.397439488511496,IRL
tp,6,0.0655243413209363,0.102877718228899,0.22580783198838,0.302665330506,IRL
tp,7,0.056440638772925,0.092605100717681,0.14183919579678,0.223345236893198,IRL
ts,2,0.0840382249595385,0.0955421375254534,0.167112284029234,0.183963993366441,IRL
ts,3,0.0510101874425568,0.108652847270345,0.147320100743209,0.368911540591571,IRL
ts,4,0.0559102150043179,0.0927141580212889,0.137036117202412,0.203791959330488,IRL
